login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,score
arvindr21,2562992,MDQ6VXNlcjI1NjI5OTI=,https://avatars.githubusercontent.com/u/2562992?v=4,,https://api.github.com/users/arvindr21,https://github.com/arvindr21,https://api.github.com/users/arvindr21/followers,https://api.github.com/users/arvindr21/following{/other_user},https://api.github.com/users/arvindr21/gists{/gist_id},https://api.github.com/users/arvindr21/starred{/owner}{/repo},https://api.github.com/users/arvindr21/subscriptions,https://api.github.com/users/arvindr21/orgs,https://api.github.com/users/arvindr21/repos,https://api.github.com/users/arvindr21/events{/privacy},https://api.github.com/users/arvindr21/received_events,User,public,False,1.0
InterviewReady,84011411,MDEyOk9yZ2FuaXphdGlvbjg0MDExNDEx,https://avatars.githubusercontent.com/u/84011411?v=4,,https://api.github.com/users/InterviewReady,https://github.com/InterviewReady,https://api.github.com/users/InterviewReady/followers,https://api.github.com/users/InterviewReady/following{/other_user},https://api.github.com/users/InterviewReady/gists{/gist_id},https://api.github.com/users/InterviewReady/starred{/owner}{/repo},https://api.github.com/users/InterviewReady/subscriptions,https://api.github.com/users/InterviewReady/orgs,https://api.github.com/users/InterviewReady/repos,https://api.github.com/users/InterviewReady/events{/privacy},https://api.github.com/users/InterviewReady/received_events,Organization,public,False,1.0
javabyraghu,15054479,MDQ6VXNlcjE1MDU0NDc5,https://avatars.githubusercontent.com/u/15054479?v=4,,https://api.github.com/users/javabyraghu,https://github.com/javabyraghu,https://api.github.com/users/javabyraghu/followers,https://api.github.com/users/javabyraghu/following{/other_user},https://api.github.com/users/javabyraghu/gists{/gist_id},https://api.github.com/users/javabyraghu/starred{/owner}{/repo},https://api.github.com/users/javabyraghu/subscriptions,https://api.github.com/users/javabyraghu/orgs,https://api.github.com/users/javabyraghu/repos,https://api.github.com/users/javabyraghu/events{/privacy},https://api.github.com/users/javabyraghu/received_events,User,public,False,1.0
SajeedAI,86048457,MDQ6VXNlcjg2MDQ4NDU3,https://avatars.githubusercontent.com/u/86048457?v=4,,https://api.github.com/users/SajeedAI,https://github.com/SajeedAI,https://api.github.com/users/SajeedAI/followers,https://api.github.com/users/SajeedAI/following{/other_user},https://api.github.com/users/SajeedAI/gists{/gist_id},https://api.github.com/users/SajeedAI/starred{/owner}{/repo},https://api.github.com/users/SajeedAI/subscriptions,https://api.github.com/users/SajeedAI/orgs,https://api.github.com/users/SajeedAI/repos,https://api.github.com/users/SajeedAI/events{/privacy},https://api.github.com/users/SajeedAI/received_events,User,public,False,1.0
archygupta,23223229,MDQ6VXNlcjIzMjIzMjI5,https://avatars.githubusercontent.com/u/23223229?v=4,,https://api.github.com/users/archygupta,https://github.com/archygupta,https://api.github.com/users/archygupta/followers,https://api.github.com/users/archygupta/following{/other_user},https://api.github.com/users/archygupta/gists{/gist_id},https://api.github.com/users/archygupta/starred{/owner}{/repo},https://api.github.com/users/archygupta/subscriptions,https://api.github.com/users/archygupta/orgs,https://api.github.com/users/archygupta/repos,https://api.github.com/users/archygupta/events{/privacy},https://api.github.com/users/archygupta/received_events,User,public,False,1.0
daminisatya,6227784,MDQ6VXNlcjYyMjc3ODQ=,https://avatars.githubusercontent.com/u/6227784?v=4,,https://api.github.com/users/daminisatya,https://github.com/daminisatya,https://api.github.com/users/daminisatya/followers,https://api.github.com/users/daminisatya/following{/other_user},https://api.github.com/users/daminisatya/gists{/gist_id},https://api.github.com/users/daminisatya/starred{/owner}{/repo},https://api.github.com/users/daminisatya/subscriptions,https://api.github.com/users/daminisatya/orgs,https://api.github.com/users/daminisatya/repos,https://api.github.com/users/daminisatya/events{/privacy},https://api.github.com/users/daminisatya/received_events,User,public,False,1.0
hindupuravinash,3033246,MDQ6VXNlcjMwMzMyNDY=,https://avatars.githubusercontent.com/u/3033246?v=4,,https://api.github.com/users/hindupuravinash,https://github.com/hindupuravinash,https://api.github.com/users/hindupuravinash/followers,https://api.github.com/users/hindupuravinash/following{/other_user},https://api.github.com/users/hindupuravinash/gists{/gist_id},https://api.github.com/users/hindupuravinash/starred{/owner}{/repo},https://api.github.com/users/hindupuravinash/subscriptions,https://api.github.com/users/hindupuravinash/orgs,https://api.github.com/users/hindupuravinash/repos,https://api.github.com/users/hindupuravinash/events{/privacy},https://api.github.com/users/hindupuravinash/received_events,User,public,False,1.0
janakiramm,1262136,MDQ6VXNlcjEyNjIxMzY=,https://avatars.githubusercontent.com/u/1262136?v=4,,https://api.github.com/users/janakiramm,https://github.com/janakiramm,https://api.github.com/users/janakiramm/followers,https://api.github.com/users/janakiramm/following{/other_user},https://api.github.com/users/janakiramm/gists{/gist_id},https://api.github.com/users/janakiramm/starred{/owner}{/repo},https://api.github.com/users/janakiramm/subscriptions,https://api.github.com/users/janakiramm/orgs,https://api.github.com/users/janakiramm/repos,https://api.github.com/users/janakiramm/events{/privacy},https://api.github.com/users/janakiramm/received_events,User,public,False,1.0
erilyth,9864149,MDQ6VXNlcjk4NjQxNDk=,https://avatars.githubusercontent.com/u/9864149?v=4,,https://api.github.com/users/erilyth,https://github.com/erilyth,https://api.github.com/users/erilyth/followers,https://api.github.com/users/erilyth/following{/other_user},https://api.github.com/users/erilyth/gists{/gist_id},https://api.github.com/users/erilyth/starred{/owner}{/repo},https://api.github.com/users/erilyth/subscriptions,https://api.github.com/users/erilyth/orgs,https://api.github.com/users/erilyth/repos,https://api.github.com/users/erilyth/events{/privacy},https://api.github.com/users/erilyth/received_events,User,public,False,1.0
imbhargav5,2936644,MDQ6VXNlcjI5MzY2NDQ=,https://avatars.githubusercontent.com/u/2936644?v=4,,https://api.github.com/users/imbhargav5,https://github.com/imbhargav5,https://api.github.com/users/imbhargav5/followers,https://api.github.com/users/imbhargav5/following{/other_user},https://api.github.com/users/imbhargav5/gists{/gist_id},https://api.github.com/users/imbhargav5/starred{/owner}{/repo},https://api.github.com/users/imbhargav5/subscriptions,https://api.github.com/users/imbhargav5/orgs,https://api.github.com/users/imbhargav5/repos,https://api.github.com/users/imbhargav5/events{/privacy},https://api.github.com/users/imbhargav5/received_events,User,public,False,1.0
Shra1V32,89348492,MDQ6VXNlcjg5MzQ4NDky,https://avatars.githubusercontent.com/u/89348492?v=4,,https://api.github.com/users/Shra1V32,https://github.com/Shra1V32,https://api.github.com/users/Shra1V32/followers,https://api.github.com/users/Shra1V32/following{/other_user},https://api.github.com/users/Shra1V32/gists{/gist_id},https://api.github.com/users/Shra1V32/starred{/owner}{/repo},https://api.github.com/users/Shra1V32/subscriptions,https://api.github.com/users/Shra1V32/orgs,https://api.github.com/users/Shra1V32/repos,https://api.github.com/users/Shra1V32/events{/privacy},https://api.github.com/users/Shra1V32/received_events,User,public,False,1.0
sriramalavalapati3,112754538,U_kgDOBrh_ag,https://avatars.githubusercontent.com/u/112754538?v=4,,https://api.github.com/users/sriramalavalapati3,https://github.com/sriramalavalapati3,https://api.github.com/users/sriramalavalapati3/followers,https://api.github.com/users/sriramalavalapati3/following{/other_user},https://api.github.com/users/sriramalavalapati3/gists{/gist_id},https://api.github.com/users/sriramalavalapati3/starred{/owner}{/repo},https://api.github.com/users/sriramalavalapati3/subscriptions,https://api.github.com/users/sriramalavalapati3/orgs,https://api.github.com/users/sriramalavalapati3/repos,https://api.github.com/users/sriramalavalapati3/events{/privacy},https://api.github.com/users/sriramalavalapati3/received_events,User,public,False,1.0
algorithmica-repository,7970172,MDQ6VXNlcjc5NzAxNzI=,https://avatars.githubusercontent.com/u/7970172?v=4,,https://api.github.com/users/algorithmica-repository,https://github.com/algorithmica-repository,https://api.github.com/users/algorithmica-repository/followers,https://api.github.com/users/algorithmica-repository/following{/other_user},https://api.github.com/users/algorithmica-repository/gists{/gist_id},https://api.github.com/users/algorithmica-repository/starred{/owner}{/repo},https://api.github.com/users/algorithmica-repository/subscriptions,https://api.github.com/users/algorithmica-repository/orgs,https://api.github.com/users/algorithmica-repository/repos,https://api.github.com/users/algorithmica-repository/events{/privacy},https://api.github.com/users/algorithmica-repository/received_events,User,public,False,1.0
Rudrabha,35054375,MDQ6VXNlcjM1MDU0Mzc1,https://avatars.githubusercontent.com/u/35054375?v=4,,https://api.github.com/users/Rudrabha,https://github.com/Rudrabha,https://api.github.com/users/Rudrabha/followers,https://api.github.com/users/Rudrabha/following{/other_user},https://api.github.com/users/Rudrabha/gists{/gist_id},https://api.github.com/users/Rudrabha/starred{/owner}{/repo},https://api.github.com/users/Rudrabha/subscriptions,https://api.github.com/users/Rudrabha/orgs,https://api.github.com/users/Rudrabha/repos,https://api.github.com/users/Rudrabha/events{/privacy},https://api.github.com/users/Rudrabha/received_events,User,public,False,1.0
aadhar54,36945867,MDQ6VXNlcjM2OTQ1ODY3,https://avatars.githubusercontent.com/u/36945867?v=4,,https://api.github.com/users/aadhar54,https://github.com/aadhar54,https://api.github.com/users/aadhar54/followers,https://api.github.com/users/aadhar54/following{/other_user},https://api.github.com/users/aadhar54/gists{/gist_id},https://api.github.com/users/aadhar54/starred{/owner}{/repo},https://api.github.com/users/aadhar54/subscriptions,https://api.github.com/users/aadhar54/orgs,https://api.github.com/users/aadhar54/repos,https://api.github.com/users/aadhar54/events{/privacy},https://api.github.com/users/aadhar54/received_events,User,public,False,1.0
syedzada1100,88243531,MDQ6VXNlcjg4MjQzNTMx,https://avatars.githubusercontent.com/u/88243531?v=4,,https://api.github.com/users/syedzada1100,https://github.com/syedzada1100,https://api.github.com/users/syedzada1100/followers,https://api.github.com/users/syedzada1100/following{/other_user},https://api.github.com/users/syedzada1100/gists{/gist_id},https://api.github.com/users/syedzada1100/starred{/owner}{/repo},https://api.github.com/users/syedzada1100/subscriptions,https://api.github.com/users/syedzada1100/orgs,https://api.github.com/users/syedzada1100/repos,https://api.github.com/users/syedzada1100/events{/privacy},https://api.github.com/users/syedzada1100/received_events,User,public,False,1.0
mdashrafali-cs,114103827,U_kgDOBs0WEw,https://avatars.githubusercontent.com/u/114103827?v=4,,https://api.github.com/users/mdashrafali-cs,https://github.com/mdashrafali-cs,https://api.github.com/users/mdashrafali-cs/followers,https://api.github.com/users/mdashrafali-cs/following{/other_user},https://api.github.com/users/mdashrafali-cs/gists{/gist_id},https://api.github.com/users/mdashrafali-cs/starred{/owner}{/repo},https://api.github.com/users/mdashrafali-cs/subscriptions,https://api.github.com/users/mdashrafali-cs/orgs,https://api.github.com/users/mdashrafali-cs/repos,https://api.github.com/users/mdashrafali-cs/events{/privacy},https://api.github.com/users/mdashrafali-cs/received_events,User,public,False,1.0
ramsrigouthamg,1754080,MDQ6VXNlcjE3NTQwODA=,https://avatars.githubusercontent.com/u/1754080?v=4,,https://api.github.com/users/ramsrigouthamg,https://github.com/ramsrigouthamg,https://api.github.com/users/ramsrigouthamg/followers,https://api.github.com/users/ramsrigouthamg/following{/other_user},https://api.github.com/users/ramsrigouthamg/gists{/gist_id},https://api.github.com/users/ramsrigouthamg/starred{/owner}{/repo},https://api.github.com/users/ramsrigouthamg/subscriptions,https://api.github.com/users/ramsrigouthamg/orgs,https://api.github.com/users/ramsrigouthamg/repos,https://api.github.com/users/ramsrigouthamg/events{/privacy},https://api.github.com/users/ramsrigouthamg/received_events,User,public,False,1.0
sitaramc,43316,MDQ6VXNlcjQzMzE2,https://avatars.githubusercontent.com/u/43316?v=4,,https://api.github.com/users/sitaramc,https://github.com/sitaramc,https://api.github.com/users/sitaramc/followers,https://api.github.com/users/sitaramc/following{/other_user},https://api.github.com/users/sitaramc/gists{/gist_id},https://api.github.com/users/sitaramc/starred{/owner}{/repo},https://api.github.com/users/sitaramc/subscriptions,https://api.github.com/users/sitaramc/orgs,https://api.github.com/users/sitaramc/repos,https://api.github.com/users/sitaramc/events{/privacy},https://api.github.com/users/sitaramc/received_events,User,public,False,1.0
CodeBustler,110022096,U_kgDOBo7N0A,https://avatars.githubusercontent.com/u/110022096?v=4,,https://api.github.com/users/CodeBustler,https://github.com/CodeBustler,https://api.github.com/users/CodeBustler/followers,https://api.github.com/users/CodeBustler/following{/other_user},https://api.github.com/users/CodeBustler/gists{/gist_id},https://api.github.com/users/CodeBustler/starred{/owner}{/repo},https://api.github.com/users/CodeBustler/subscriptions,https://api.github.com/users/CodeBustler/orgs,https://api.github.com/users/CodeBustler/repos,https://api.github.com/users/CodeBustler/events{/privacy},https://api.github.com/users/CodeBustler/received_events,User,public,False,1.0
